"BANCO COLPATRIA","10.04 ","9.97 "
"Av Villas","10.69 ","10.90 "
"BANCO CAJA SOCIAL","11.59 ","10.27"
"BBVA Colombia","10.35 ","10.49 "
"Banagrario","14.50 ","0.0"
"Banco Davivienda","11.69 ","10.15 "
"Banco Popular","11.29 ","9.39 "
"Banco de Bogota","11.58 ","10.63 "
"Banco de Occidente","0.0","9.78 "
"Bancolombia","11.50 ","10.98 "
"Bancoomeva","0.0","13.42 "
"Confiar Cooperativa Financiera","12.70 ","12.69 "
"Cotrafa Financiera","12.68 ","0.0"
"Fondo Nacional del Ahorro","10.56 ","11.00 "
"ITAÃš BANCO CORPBANCA","0.0","9.97 "
"La Hipotecaria","11.95 ","0.0"